tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang
2021,09,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,21569
2021,09,Mikrotrans,JAK.85,Bintara - Cipinang Indah,23109
2021,09,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,36842
2021,09,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,46648
2021,09,Mikrotrans,JA.77,Tanjung Priok - Jembatan Item,48302
2021,09,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,35365
2021,09,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,30072
2021,09,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,59539
2021,09,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,64779
2021,09,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,48561
2021,09,Mikrotrans,JAK.64,Lenteng Agung - Aseli,40201
2021,09,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,25171
2021,09,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,52090
2021,09,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,49257
2021,09,Mikrotrans,JAK.58,Cilingcing - Rorotan,71733
2021,09,Mikrotrans,JAK.56,Grogol - Srengseng,34100
2021,09,Mikrotrans,JAK.54,Grogol - Benhil,33008
2021,09,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,33250
2021,09,Mikrotrans,JAK.52,Kalideres - Muara Angke,53897
2021,09,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,77687
2021,09,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,50104
2021,09,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,33207
2021,09,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,32568
2021,09,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,60542
2021,09,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,38024
2021,09,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,50060
2021,09,Mikrotrans,JAK.43,Tongtek - Cililitan,69032
2021,09,Mikrotrans,JAK.42,Kampung Melayu - Pondok Kelapa,51065
2021,09,Mikrotrans,JAK.41,Kampung Melayu - Pulo Gadung,33668
2021,09,Mikrotrans,JAK.40,Harapan Baru - Pulo Gebang via Rawa Kuning,26059
2021,09,Mikrotrans,JAK.39,Kalimalang - Duren Sawit,48378
2021,09,Mikrotrans,JAK.38,Bulak Ringin - Kampung Rambutan,34714
2021,09,Mikrotrans,JAK.37,Cililitan - Condet via Kayu Manis,43800
2021,09,Mikrotrans,JAK.36,Cilangkap - Cililitan,49923
2021,09,Mikrotrans,JAK.35,Pangkalan  Jati - Rawamangun,26455
2021,09,Mikrotrans,JAK.34,Rawamangun - Klender,50790
2021,09,Mikrotrans,JAK.33,Pulo Gadung - Kota,38197
2021,09,Mikrotrans,JAK.32,Lebak Bulus - Petukangan,59259
2021,09,Mikrotrans,JAK.31,Blok M - Andara,46546
2021,09,Mikrotrans,JAK.30,Grogol - Meruya via Roxy,103286
2021,09,Mikrotrans,JAK.29,Tanjung Priok - Sukapura,82109
2021,09,Mikrotrans,JAK.28,Kp. Rambutan - Taman Wiladatika,44851
2021,09,Mikrotrans,JAK.27,Pulo Gebang - Rorotan,28362
2021,09,Mikrotrans,JAK.26,Rawamangun - Duren Sawit,29082
2021,09,Mikrotrans,JAK.25,Kp. Rambutan - Kalisari,38117
2021,09,Mikrotrans,JAK.24,Senen - Pulo Gadung via Kelapa Gading,55622
2021,09,Mikrotrans,JAK.22,Dwikora - Penas Kalimalang,18294
2021,09,Mikrotrans,JAK.21,Cililitan - Dwikora,60358
2021,09,Mikrotrans,JAK.20,Cawang UKI - Lubang Buaya,43086
2021,09,Mikrotrans,"JAK,19",Pinang Ranti - Kampung Rambutan,80525
2021,09,Mikrotrans,JAK.18,Kalibata - Kuningan,22686
2021,09,Mikrotrans,JAK.17,Senen - Pulo Gadung ,32948
2021,09,Mikrotrans,JAK.16,Cililitan - Condet via Kayu Manis,55189
2021,09,Mikrotrans,JAK.15,Bulak Turi - Tanjung Priok,88818
2021,09,Mikrotrans,JAK.14,Tanah Abang - Meruya,54146
2021,09,Mikrotrans,JAK.13,Tanah Abang - Kota Intan via Jembatan Lima,13942
2021,09,Mikrotrans,JAK.12,Tanah Abang - Kebayoran Lama via Pos Pengumben,47757
2021,09,Mikrotrans,JAK.117,Tanjung Priok - Tanah Merdeka,65450
2021,09,Mikrotrans,JAK.112,Terminal Tanah Merah - Pulo Gadung,42918
2021,09,Mikrotrans,JAK.11,Tanah Abang - Kebayoran Lama ,55623
2021,09,Mikrotrans,JAK.10,Tanah Abang - Kota ,39097
2021,09,Mikrotrans,JAK.09,Roxy Mas - Karet,20117
2021,09,Mikrotrans,JAK.08,Roxy - Benhil,31482
2021,09,Mikrotrans,JAK.07,Tanah Abang - Grogol via Tawakal,40234
2021,09,Mikrotrans,JAK.06,Kampung Rambutan - Pondok Gede,47876
2021,09,Mikrotrans,JAK.05,Semper - Rorotan,49580
2021,09,Mikrotrans,JAK.04,Grogol - Tubagus Angke,39425
2021,09,Mikrotrans,JAK.03,Lebak Bulus - Andara,29480
2021,09,Mikrotrans,JAK.02,Kampung Melayu - Duren Sawit,33996
2021,09,Mikrotrans,JAK.01,Tanjung Priok - Plumpang,50127
2021,09,BRT,9,Pinang Ranti - Pluit,576669
2021,09,BRT,8,Lebak Bulus - Harmoni,374777
2021,09,BRT,7,Kampung Rambutan - Kampung Melayu,320701
2021,09,BRT,6,Ragunan - Dukuh Atas 2,294430
2021,09,BRT,5,Kampung Melayu - Ancol,357909
2021,09,BRT,4,Pulo Gadung 2 - Tosari,225026
2021,09,BRT,3,Kalideres - Pasar Baru,398693
2021,09,BRT,2,Pulo Gadung 1 - Harmoni,277799
2021,09,BRT,13,Ciledug - Tendean,254820
2021,09,BRT,12,Penjaringan - Sunter Bouleverd Barat,121086
2021,09,BRT,11,Pulo Gebang - Kampung Melayu,116020
2021,09,BRT,10,Tanjung Priok - PGC 2,315308
2021,09,BRT,1,Blok M - Kota,735653
2021,09,Angkutan Umum Integrasi,9H,Cipedak - Blok M,15763
2021,09,Angkutan Umum Integrasi,9E,Kebayoran Lama - Jelambar,15640
2021,09,Angkutan Umum Integrasi,9D,Pasar Minggu - Tanah Abang,70179
2021,09,Angkutan Umum Integrasi,8K,Batu Sari-Tanah Abang,8898
2021,09,Angkutan Umum Integrasi,8E,Bintaro - Blok M,16354
2021,09,Angkutan Umum Integrasi,8D,Joglo - Blok M,21647
2021,09,Angkutan Umum Integrasi,8C,Kebayoran Lama - Tanah Abang,0
2021,09,Angkutan Umum Integrasi,7P,Pondok Kelapa - BKN,22113
2021,09,Angkutan Umum Integrasi,7D,Pancoran - TMII,17735
2021,09,Angkutan Umum Integrasi,7B,Kampung Rambutan - Blok M,63312
2021,09,Angkutan Umum Integrasi,7A,Kampung Rambutan - Lebak Bulus,65877
2021,09,Angkutan Umum Integrasi,6R,Ragunan - Stasin MRT Fatmawati,0
2021,09,Angkutan Umum Integrasi,6N,Ragunan - Blok M via Kemang,21774
2021,09,Angkutan Umum Integrasi,6M,Stasiun Manggarai - Blok  M,18302
2021,09,Angkutan Umum Integrasi,6H,Senen - Lebak Bulus,18253
2021,09,Angkutan Umum Integrasi,6C,Stasin Tebet - Karet via Patra Kuningan,79500
2021,09,Angkutan Umum Integrasi,5M,Kampung Melayu - Tanah Abang via Cikini,69464
2021,09,Angkutan Umum Integrasi,5F,Kampung Melayu - Tanah Abang,13037
2021,09,Angkutan Umum Integrasi,5B,Stasiun Tebet - Bidara Cina,6075
2021,09,Angkutan Umum Integrasi,4F,Pinang Ranti - Pulo Gadung,33478
2021,09,Angkutan Umum Integrasi,4B,Stasiun Manggarai - UI,29193
2021,09,Angkutan Umum Integrasi,3E,Sentraland Cengkareng - Puri Kembangan,22173
2021,09,Angkutan Umum Integrasi,1R,Senen - Tanah Abang,11913
2021,09,Angkutan Umum Integrasi,1Q,Rempoa - Blok M,22527
2021,09,Angkutan Umum Integrasi,1P,Senen - Bundaran Senayan,7611
2021,09,Angkutan Umum Integrasi,1N,Tanah Abang - Blok M,12148
2021,09,Angkutan Umum Integrasi,1M,Meruya - Blok M,18366
2021,09,Angkutan Umum Integrasi,1H,Tanah Abang - Stasiun Gondangdia,32607
2021,09,Angkutan Umum Integrasi,1F,Stasiun Palmerah - Bundaran Senayan,0
2021,09,Angkutan Umum Integrasi,1E,Pondok  Labu - Blok M,65276
2021,09,Angkutan Umum Integrasi,1C,Pesanggrahan - Blok M,12038
2021,09,Angkutan Umum Integrasi,1B,Stasiun Palmerah - Tosari,25509
2021,09,Angkutan Umum Integrasi,1A ,PIK - Balai Kota,54065
2021,09,Angkutan Umum Integrasi,12B,Pluit - Senen,8145
2021,09,Angkutan Umum Integrasi,11Q,Kampung Melayu - Pulo Gebang via BKT,9875
2021,09,Angkutan Umum Integrasi,11D,Pulo Gebang - Pulo Gadung 2 via PIK,48895
2021,09,Angkutan Umum Integrasi,10K,Tanjung Priok - Senen via Taman  BMW,32614
2021,09,Angkutan Umum Integrasi,GR4,Taman Kota Intan - Museum Bahari,91
2021,09,Angkutan Umum Integrasi,GR5,Kota Tua Explorer,15
